Country,Percentage
Afghanistan,3.65
Albania,0.93
Algeria,6.66
Argentina,2.87
Armenia,15.03
Australia,18.52
Austria,9.37
Bahrain,7.76
Bangladesh,2.28
Barbados,2.07
Belgium,17.69
Belize,3.18
Benin,2.01
Bolivia,8.43
Botswana,2.02
Brazil,5.63
Brunei,6.51
Bulgaria,13.07
Burundi,0.54
Cambodia,1.32
Cameroon,1.64
Canada,22.67
Central African Republic,0.83
Chile,5.92
China,2.71
Colombia,18.55
Congo,0.64
Costa Rica,14.69
Cote d'Ivoire,2.13
Croatia,11.04
Cuba,13.32
Cyprus,20.75
Czechia,7.59
Denmark,14.98
Dominican Republic,2.06
Ecuador,5.19
Egypt,6.65
El Salvador,3.92
Estonia,18.87
Fiji,7.03
Finland,12.35
France,10.6
Gabon,6.3
Gambia,0.91
Germany,13.14
Ghana,1.44
Greece,22.5
Guatemala,0
Guyana,0.24
Haiti,0.67
Honduras,1.93
Hungary,15.38
Iceland,17.89
India,4.85
Indonesia,3.73
Iran,14.66
Iraq,8.77
Ireland,26.8
Israel,20.26
Italy,6.84
Jamaica,8.37
Japan,18.91
Jordan,3.8
Kazakhstan,14.03
Kenya,3.4
Kuwait,4.28
Kyrgyzstan,9
Laos,3.3
Latvia,12.42
Lesotho,0.76
Liberia,1.9
Libya,11.89
Lithuania,15.6
Luxembourg,18.54
Malawi,0.15
Malaysia,5.81
Maldives,0.25
Mali,0.78
Malta,10.52
Mauritania,0.97
Mauritius,1.88
Mexico,9.81
Moldova,8.76
Mongolia,19.66
Morocco,5.35
Mozambique,0.26
Namibia,0.76
Nepal,1.75
Netherlands,15.63
New Zealand,15.5
Nicaragua,10.33
Niger,0.51
Norway,12.16
Pakistan,4.43
Panama,14.37
Papua New Guinea,0.54
Paraguay,3.88
Peru,12.27
Philippines,5.48
Poland,11.37
Portugal,3.26
Qatar,10.05
Romania,6.61
Russia,24.74
Rwanda,0.53
Saudi Arabia,6.67
Senegal,1.25
Serbia,8.97
Sierra Leone,1.22
Singapore,29.71
Slovakia,8.76
Slovenia,13.25
South Africa,0.32
South Korea,30.04
Spain,14.96
Sri Lanka,8.51
Sudan,1.87
Sweden,14.93
Switzerland,17.88
Syria,2.55
Tajikistan,3.74
Tanzania,0.36
Thailand,10.47
Togo,1.51
Trinidad and Tobago,6.48
Tunisia,7.38
Turkey,5.28
Uganda,1.23
Ukraine,24.55
United Arab Emirates,8.54
United Kingdom,15.31
United States of America,26.76
Uruguay,3.5
Venezuela,2.96
Vietnam,3.27
Yemen,1.5
Zambia,0.49
Zimbabwe,0.38
